"Sl No","Number of Vote","Date of Votes","Title in English","Title in French","Result","Def. Result","keyword1","keyword2","keyword3","type","Institutions","Theme codes","Turnout","Valid Ballot Sheets","Yes [%]","No [%]","Number of Yes-Votes in National Council","Number of No-Votes in National Council","Number of Abstentions in National Council","Number of Yes-Votes in States Council","Number of No-Votes in States Council","Number of Abstentions in States Council","Recommendation of Government","Total Electorate","Number Of Voters","Yes Votes","No Votes","Number of States accepting","Number of States rejecting","Linked Vote Status","Linked Vote","Without Response","Tie-Break Question: Number of People Supporting","Tie-Break Question: Number of State Supporting","Tie-Break Question: Without Response"
63,548,2010-03-07,"Federal decree of 25 september 2009 on a constitutional article concerning the research on humans.","Arrêté fédéral du 25.09.2009 relatif à un article constitutionnel concernant la recherche sur l'être humain","yes",NA,"Research","Universities","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Research | Universities | none","45.49",2212655,77.21,"22.79","144","61","18","46","0","0","Acceptance",5051169,2297548,1708488,504167,"23","0","none",NA,NA,NA,NA,NA
64,549,2010-03-07,"Citizen's initiative of 26 July 2007 ""against the cruelty of animals and for better legal protection of animals"".","Initiative populaire du 26.07.2007 'Contre les mauvais traitements envers les animaux et pour une meilleure protection juridique de ces derniers (Initiative pour l'institution d'un avocat de la protection des animaux)'","no",NA,"Animal protection","none","none","initiative","Initiative (Formulated Draft)","Animal protection | none | none","45.82",2276872,29.5,"70.5","130","50","13","30","6","2","Rejection",5051169,2314490,671731,1605141,"0","23","none",NA,NA,NA,NA,NA
65,550,2010-03-07,"Amendment of 12 december 2008 to the federal law on the old age-  widows- and orphans ocupational pension. (minimal conversion rate)","Modification du 19.12.2008 de la loi fédérale sur la prévoyance professionnelle vieillesse  survivants et invalidité (LPP) (Taux de conversion minimal)","no",NA,"Pension insurance","none","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Pension insurance | none | none","45.75",2263578,27.27,"72.73","126","62","6","35","1","6","Acceptance",5051169,2311052,617209,1646369,NA,NA,"none",NA,NA,NA,NA,NA
66,545,2009-11-29,"Federal decree of 3.10.2008 for the creation of a specialist fund for duties on air traffic","Arrêté fédéral sur la création d?un financement spécial en faveur de tâches dans le domaine du trafic aérien du 3 octobre 2008   ","yes",NA,"Air transport","Tax policy","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Air transport | Tax policy | none","52.63",2476795,64.99,"35.01","124","63","4","33","7","3","Acceptance",5039676,2652205,1609682,867113,"23","0","none",NA,NA,NA,NA,NA
67,546,2009-11-29,"Citizen's initiative of 21.9.2007 ""For the prohibition of the export of munitions""","Initiative populaire du 21.09.2007 'Pour l'interdiction d'exporter du matériel de guerre'","no",NA,"Arms","Foreign trade policy","none","initiative","Initiative (Formulated Draft)","Arms | Foreign trade policy | none","53.39",2635288,31.77,"68.23","63","131","0","7","35","3","Rejection",5039676,2690488,837156,1798132,"0","23","none",NA,NA,NA,NA,NA
68,547,2009-11-29,"Citizen's initiative of 8.7.2008 ""Against the construction of minarets""",NA,"yes",NA,"Fundamental rights","Religion - churches","none","initiative","Initiative (Formulated Draft)","Fundamental rights | Religion - churches | none","53.76",2669450,57.5,"42.5","51","132","11","3","39","2","Rejection",5039676,2709287,1535010,1134440,"19.5","3.5","none",NA,NA,NA,NA,NA
69,543,2009-09-27,"Federal decree on the temporary supplementary financing of disability insurance through an increase in the value-added tax rate  as amended by the Federal decree of 12 June 2009 on the amendment of this decree.","Arrêté fédéral du 13.06.2008 relatif au financement additionnel de l'AI par un relèvement temporaire des taux de la TVA  modifié par l'arrêté fédéral du 12.06.2009 portant modification de cet arrêté","yes",NA,"Financial system","Disability insurance","Indirect taxation","mandatory Referendum","Constitutional Referendum (Partialrevision)","Financial system | Disability insurance | Indirect taxation","41.01",2039548,54.56,"45.44","114","9","71","34","4","4","Acceptance",5030915,2063128,1112818,926730,"12","11","none",NA,NA,NA,NA,NA
70,544,2009-09-27,"Federal decree of 19.12.2008 on the abandonment of the introduction of a general citizen's initiative","Arrêté fédéral du 19.12.2008 portant suppression de l'initiative populaire générale","yes",NA,"Citizens' rights","Citizen's initiatives","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Citizens' rights | Citizen's initiatives | none","40.43",1925901,67.88,"32.12","178","1","15","42","0","1","Acceptance",5030915,2034093,1307237,618664,"23","0","none",NA,NA,NA,NA,NA
71,541,2009-05-17,"Article of the Constitution of 3.10.2008 ""For a future with alternative medicine""","Article constitutionnel du 03.10.2008 'Pour la prise en compte des médecines complémentaires'","yes",NA,"Health policy","Health","Health and accident insurance","mandatory Referendum","Constitutional Referendum (Counter-draft)","Health policy | Health | Health and accident insurance","38.8",1915454,67.03,"32.97","152","16","24","41","0","2","Acceptance",5010873,1944259,1283894,631560,"23","0","none",NA,NA,NA,NA,NA
72,542,2009-05-17,"Federal government decision of 13.6.2008 on the approval and execution of an exchange of notes between Switzerland and the European Community concerning the implementation of regulation (EG) No. 2252/2004 on biometric passports and travel documents (further development of the rights vested in Schengen)","Arrêté fédéral du 13.06.2008 portant approbation et mise en oeuvre de l'échange de notes entre la Suisse et la Communauté européenne concernant la reprise du Règlement (CE) 2252/2004 relatif aux passeports biométriques et aux documents de voyage (Développement de l'Acquis de Schengen)","yes",NA,"Data protection","Bilateral treaties","Citizenship","facultative Referendum","Optional Treaty Referendum (Treaties containing important law setting norms or whose implemention requires federal Statutes)","Data protection | Bilateral treaties | Citizenship","38.77",1900666,50.15,"49.85","94","81","12","36","2","3","Acceptance",5010873,1942857,953173,947493,NA,NA,"none",NA,NA,NA,NA,NA
73,540,2009-02-08,"Federal Decree of 13 June 2008 approving the renewal of the agreement between Switzerland and the European Community and its Member States on the free movement of persons  and the approval and implementation of the Protocol to extend the agreement on free movement to Bulgaria and Romania","Arrêté fédéral du 13.06.2008 portant approbation de la reconduction de l'accord entre la Suisse et la Communauté européenne et ses Etats membres sur la libre circulation des personnes  ainsi qu'approbation et mise en oeuvre du protocole visant à étendre l'accord sur la libre circulation à la Bulgarie et à la Roumanie","yes",NA,"EU","Bilateral treaties","Employment","facultative Referendum","Optional Treaty Referendum (Treaties containing important law setting norms or whose implemention requires federal Statutes)","EU | Bilateral treaties | Employment","51.44",2545031,59.61,"40.39","143","40","6","35","2","4","Acceptance",4999618,2572040,1517132,1027899,NA,NA,"none",NA,NA,NA,NA,NA
74,535,2008-11-30,"Citizen's initiative ""For no statute of limitation for pornographic crimes against children"" ","Initiative populaire du 01.03.2006 'Pour l'imprescriptibilité des actes de pornographie enfantine'","yes",NA,"Criminal law","Children and young people","none","initiative","Initiative (Formulated Draft)","Criminal law | Children and young people | none","47.52",2325442,51.87,"48.13","19","163","5","0","41",NA,"Rejection",4996626,2374312,1206323,1119119,"18","5","none",NA,NA,0,NA,0
75,536,2008-11-30,"Citizen's initiative ""For a flexible retiring age under the AVS (Old Age Insurance)"" ","Initiative populaire du 28.03.2006 'Pour un âge de l'AVS flexible'","no",NA,"Pension insurance","Senior citizens","none","initiative","Initiative (Formulated Draft)","Pension insurance | Senior citizens | none","47.64",2344819,41.38,"58.62","61","127","2","7","32","3","Rejection",4996626,2380196,970221,1374598,"4","19","none",NA,NA,0,NA,0
76,537,2008-11-30,"Citizen's initiative ""An organisation's right to appeal: enough obstructionism - more growth for Switzerland!   ","Initiative populaire du 11.05.2006 'Droit de recours des organisations: Assez d'obstructionnisme - Plus de croissance pour la Suisse!'","no",NA,"Environment","Legal system","none","initiative","Initiative (Formulated Draft)","Environment | Legal system | none","47.22",2275233,34,"66","90","94","10","9","30","3","Rejection",4996626,2359213,773467,1501766,"0","23","none",NA,NA,0,NA,0
77,538,2008-11-30,"Citizen's initiative ""For a reasonable marijuana policy and effective protection of youth""","Initiative populaire du 13.01.2006 'pour une politique raisonnable en matière de chanvre protégeant efficacement la jeunesse'","no",NA,"Addictive substances","Children and young people","none","initiative","Initiative (Formulated Draft)","Addictive substances | Children and young people | none","47.34",2304885,36.75,"63.25","73","111","10","18","19","4","Rejection",4996626,2365431,846985,1457900,"0","23","none",NA,NA,0,NA,0
78,539,2008-11-30,"Amendment of the Federal Act on Narcotics","Modification du 20.03.2008 de la loi fédérale sur les stupéfiants et les substances psychotropes (loi sur les stupéfiants  LStup)","yes",NA,"Addictive substances","Children and young people","Criminal law","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Addictive substances | Children and young people | Criminal law","47.14",2264920,68.08,"31.92","114","68","12","42","0",NA,"Acceptance",4996626,2355412,1541928,722992,NA,NA,"none",NA,NA,0,NA,0
79,533,2008-06-01,"Citizen's initiative ""Popular sovereignty instead of government propaganda""","Initiative populaire du 11.08.2004 'Souveraineté du peuple sans propagande gouvernementale'","no",NA,"Citizens' rights","Government, administration","Media and communication","initiative","Initiative (Formulated Draft)","Citizens' rights | Government, administration | Media and communication","44.85",2173124,24.8,"75.2","61","134","3","2","38","3","Rejection",4970220,2229213,538928,1634196,"0","23","none",NA,NA,NA,NA,NA
80,532,2008-06-01,"Citizen's initiative ""For democratic naturalisations""","Initiative populaire du 18.11.2005 'Pour des naturalisations démocratiques'","no",NA,"Citizenship","Citizens' rights","Immigration policy","initiative","Initiative (Formulated Draft)","Citizenship | Citizens' rights | Immigration policy","45.18",2219979,36.25,"63.75","67","127","0","7","34","2","Rejection",4970220,2245577,804730,1415249,"1","22","none",NA,NA,NA,NA,NA
81,534,2008-06-01,"Counter-proposal of the Federal Assembly in response to the citizen's initiative ""To lower health insurance premiums within the basic insurance system"" ","Article constitutionnel du 21.12.2007 'Qualité et efficacité économique dans l'assurance-maladie'","no",NA,"Health and accident insurance","none","none","mandatory Referendum","Constitutional Referendum (Counter-draft)","Health and accident insurance | none | none","44.81",2167014,30.52,"69.48","133","63","2","29","13","1","Acceptance",4970220,2227210,661312,1505702,"0","23","none",NA,NA,NA,NA,NA
82,530,2008-02-24,"Citizen's initiative ""Against the noise of fighter jets in tourist areas""","Initiative populaire du 03.11.2005 'Contre le bruit des avions de combat à réaction dans les zones touristiques'","no",NA,"Noise protection","Tourism","Army","initiative","Initiative (Formulated Draft)","Noise protection | Tourism | Army","38.74",1883179,31.92,"68.08","58","119","11","3","31","7","Rejection",4957889,1920885,601071,1282108,"0","23","none",NA,NA,0,NA,0
83,531,2008-02-24,"Federal law of 23 March 2007 on the improvement of fiscal conditions concerning business and investment activities (amendment of the federal law on the taxation of private enterprise)","Loi fédérale du 23.03.2007 sur l'amélioration des conditions fiscales applicables aux activités entrepreneuriales et aux investissements (loi sur la réforme de l'imposition des entreprises II)","yes",NA,"Tax policy","Direct taxation","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Tax policy | Direct taxation | none","38.62",1857734,50.53,"49.47","120","72","1","33","8","2","Acceptance",4957889,1914955,938744,918990,NA,NA,"none",NA,NA,0,NA,0
84,529,2007-06-17,"Amendment of the Federal disability insurance (LAI) law","Modification du 6.10.2006 de la loi fédérale sur l'assurance-invalidité (LAI)","yes",NA,"Disability insurance","none","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Disability insurance | none | none","36.2",1758910,59.09,"40.91","118","63","3","35","7","7","Acceptance",4929272,1784498,1039282,719628,NA,NA,"none",NA,NA,0,NA,0
85,528,2007-03-11,"Citizen's initiative ""For a social united health insurance""","Initiative populaire du 09.12.2004 'Pour une caisse maladie unique et sociale'","no",NA,"Health and accident insurance","none","none","initiative","Initiative (Formulated Draft)","Health and accident insurance | none | none","45.95",2232130,28.76,"71.24","67","122","2","6","34","2","Rejection",4914140,2257903,641917,1590213,"2","21","none",NA,NA,0,NA,0
86,526,2006-11-26,"Federal Law of 24 March 2006 on cooperation with the countries of Eastern Europe","Loi fédérale du 24.03.2006 sur la coopération avec les Etats d'Europe de l'Est","yes",NA,"EU","none","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","EU | none | none","44.98",2168684,53.42,"46.58","127","53","14","37","1","6","Acceptance",4902446,2205269,1158494,1010190,NA,NA,"none",NA,NA,NA,NA,NA
87,527,2006-11-26,"Federal Law of 24 March 2006 on family allowances (Family Allowances Act)","Loi fédérale du 24.03.2006 sur les allocations familiales (loi sur les allocations familiales  LAFam)","yes",NA,"Family policy","none","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Family policy | none | none","45.01",2178211,67.98,"32.02","106","85","2","23","21","0","Acceptance",4902446,2206479,1480796,697415,NA,NA,"none",NA,NA,0,NA,0
88,523,2006-09-24,"Citizen's initiative ""Profits from the  National Bank for the old age-  widows-  and orphans insurance fund""","Initiative populaire du 09.10.2002 'Bénéfices de la Banque nationale pour l'AVS'","no",NA,"Pension insurance","Monetary policy","none","initiative","Initiative (Formulated Draft)","Pension insurance | Monetary policy | none","48.75",2333345,41.74,"58.26","62","124","0","7","36","2","Rejection",4893927,2385591,973831,1359514,"2.5","20.5","none",NA,NA,NA,NA,NA
